linha,smell
1,LONG METHOD
2,LONG PARAMETER LIST
3,DUPLICATE CODE
4,LONG PARAMETER LIST
5,PRIMITIVE OBSESSION; SINGLE RESPONSIBILITY PRINCIPLE
6,DUPLICATE CODE
7,DATA DUPLICATION
8,LONG PARAMETER LIST
9,DUPLICATE CODE
10,INAPPROPRIATE INTIMACY
11,LONG PARAMETER LIST
12,DUPLICATE CODE
13,LONG PARAMETER LIST
14,LARGE CLASS
15,CONDITIONAL COMPLEXITY
16,LONG PARAMETER LIST
17,LONG METHOD
18,MAGIC NUMBERS
19,PRIMITIVE OBSESSION
20,DUPLICATED LOGIC
21,LONG PARAMETER LIST
22,PRIMITIVE OBSESSION
23,LONG PARAMETER LIST
24,NOT FOUND
25,PRIMITIVE OBSESSION
26,PRIMITIVE OBSESSION
27,LONG PARAMETER LIST; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
28,PRIMITIVE OBSESSION
29,LONG METHOD; NESTED CONDITIONAL
30,LONG METHOD
31,PRIMITIVE OBSESSION
32,CONDITIONAL LOGIC
33,PRIMITIVE OBSESSION; LONG METHOD
34,PRIMITIVE OBSESSION; DATA CLUMP
35,MULTIPLE RESPONSIBILITIES
36,LONG METHOD; FEATURE ENVY
37,ENCAPSULATION BREAKDOWN
38,LARGE CLASS; SWITCH STATEMENT
39,SWITCH STATEMENT; PRIMITIVE OBSESSION
40,INDECENT EXPOSURE
41,LONG METHOD; DUPLICATED CONDITIONAL LOGIC
42,FEATURE ENVY
43,MAGIC STRING
44,ENCAPSULATION VIOLATION
45,INDECENT EXPOSURE; FEATURE ENVY
46,PRIMITIVE OBSESSION; ENCAPSULATION; INAPPROPRIATE INTIMACY
47,FEATURE ENVY; PRIMITIVE OBSESSION; SINGLE RESPONSIBILITY PRINCIPLE
48,SWITCH STATEMENT; SINGLE RESPONSIBILITY PRINCIPLE
49,PRIMITIVE OBSESSION
50,LONG METHOD; CONDITIONAL COMPLEXITY
51,MAGIC NUMBER; LACK OF SEPARATION OF CONCERNS
52,MAGIC NUMBER
53,LONG METHOD; DUPLICATED CODE
54,INDECENT EXPOSURE
55,LONG METHOD; PRIMITIVE OBSESSION
56,INDECENT EXPOSURE
57,INDECENT EXPOSURE
58,DATA CLUMPING
59,FEATURE ENVY
60,LONG METHOD; MAGIC NUMBER
61,NOT HANDLING DIVISION BY ZERO PROPERLY; PUBLIC INTERFACE THAT EXPOSED TOO MUCH FUNCTIONALITY
62,ENCAPSULATION
63,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
64,DUPLICATED LOGIC
65,VIOLATES ENCAPSULATION
66,LAZY CLASS
67,DUPLICATED CODE; INAPPROPRIATE INTIMACY
68,ENCAPSULATION
69,LONG PARAMETER LIST
70,ENCAPSULATION BREAKDOWN; NULL POINTER EXCEPTION
71,REDUNDANT FIELD
72,ENCAPSULATION ISSUES
73,ENCAPSULATION SMELL
74,ENCAPSULATION
75,ENCAPSULATION
76,DUPLICATE CODE
77,ENCAPSULATION ISSUES
78,EXPOSING INTERNAL STATE
79,MAGIC NUMBER; LACK OF ENCAPSULATION
80,LACK OF ENCAPSULATION; POOR COHESION
81,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
82,ENCAPSULATION ISSUE
83,ENCAPSULATION VIOLATION; DATA CLASS
84,DATA CLUMP; FEATURE ENVY
85,ENCAPSULATION; MAGIC NUMBER
86,FEATURE ENVY; ENCAPSULATION VIOLATION
87,FEATURE ENVY
88,ENCAPSULATION; DATA CLUMP
89,INAPPROPRIATE METHOD
90,DEAD CODE
91,LONG METHOD; DUPLICATED CODE
92,DUPLICATED CODE
93,LONG METHOD; DUPLICATED CODE
94,IMPROPER NAMING
95,MAGIC NUMBER
96,LONG METHOD
97,RESOURCE MANAGEMENT
98,PRIMITIVE OBSESSION; DUPLICATE CODE
99,INCOMPLETE CONSTRUCTOR; MISSING NULL CHECK
100,IMPROPER NAMING
101,IMPROPER NAMING
102,INCOMPLETE CONSTRUCTOR
103,MAGIC NUMBER
104,IMPROPER NAMING
105,LOOP CODE SMELL
106,DUPLICATE CODE
107,LONG METHOD
108,LONG METHOD; PRINT STATEMENTS IN BUSINESS LOGIC
109,DUPLICATE CODE
110,NESTED CONDITIONAL
111,LONG PARAMETER LIST
112,LOOP
113,IMPROPER NAMING
114,ENCAPSULATION
115,IMPROPER NAMING; MAGIC NUMBER
116,IMPROPER NAMING
117,MAGIC NUMBER
118,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
119,IMPROPER NAMING
120,ENCAPSULATION VIOLATION
121,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
122,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
123,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
124,DUPLICATE CODE; LONG METHOD
125,LONG METHOD; FEATURE ENVY; DUPLICATE LOGIC
126,LONG METHOD; DUPLICATED CODE
127,FEATURE ENVY
128,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
129,DUPLICATE CODE; LONG METHOD
130,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
131,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
132,DUPLICATE CODE; FEATURE ENVY; LONG METHOD
133,FEATURE ENVY; LONG METHOD
134,FEATURE ENVY
135,LONG METHOD
136,LONG METHOD; DUPLICATE CODE
137,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
138,DUPLICATE CODE
139,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
140,DUPLICATE CODE; LONG METHOD
141,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
142,DUPLICATE CODE; LONG METHOD
143,LONG METHOD
144,LONG METHOD; MAGIC STRING
145,DUPLICATE CODE; LONG METHOD; FEATURE ENVY
146,CODE DUPLICATION; LONG METHOD
147,LONG METHOD; DUPLICATED CODE
148,DUPLICATE CODE
149,DUPLICATE CODE; LONG METHOD
150,DUPLICATE CODE
151,LOOP VARIABLE
152,FEATURE ENVY
153,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
154,UNNECESSARY FIELD
155,DUPLICATE CODE
156,FEATURE ENVY
157,LONG METHOD
158,LONG METHOD
159,PRIMITIVE OBSESSION
160,INAPPROPRIATE INTIMACY
161,FEATURE ENVY
162,MAGIC NUMBER
163,DATA ENCAPSULATION
164,PRIMITIVE OBSESSION
165,VERBOSE CODE; PROCEDURAL CODE
166,LONG METHOD; FEATURE ENVY
167,FEATURE ENVY
168,LONG METHOD
169,TEMPORARY FIELD
170,FEATURE ENVY
171,DUPLICATE FUNCTIONALITY
172,INAPPROPRIATE INTIMACY; PRIMITIVE OBSESSION
173,DATA CLUMP
174,DUPLICATE CODE
175,FEATURE ENVY
176,NOT FOUND
177,LONG METHOD
178,INAPPROPRIATE INTIMACY
179,FEATURE ENVY
180,DATA CLUMP
181,LAZY CLASS; COLLAPSING HIERARCHY
182,PRIMITIVE OBSESSION
183,DUPLICATE CODE
184,DUPLICATE CODE; INTERFACE SEGREGATION PRINCIPLE
185,LAZY CLASS
186,TELESCOPING CONSTRUCTOR
187,DUPLICATION
188,LAZY CLASS; COLLAPSING HIERARCHY
189,LAZY CLASS; COLLAPSING HIERARCHY
190,DUPLICATED CODE
191,LAZY CLASS; COLLAPSING HIERARCHY
192,DUPLICATE CODE
193,SPECULATIVE GENERALITY
194,DUPLICATED CODE
195,GOD OBJECT
196,SPECULATIVE GENERALITY
197,LONG METHOD
198,TEMPORARY FIELD
199,DUPLICATED CODE
200,FEATURE ENVY
201,DUPLICATED CODE
202,DUPLICATION
203,DUPLICATE CODE; DUPLICATED DATA
204,REDUNDANT VARIABLE; VIOLATES DON'T REPEAT YOURSELF (DRY) PRINCIPLE
205,DUPLICATE CODE
206,DUPLICATED CODE
207,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
208,LAZY CLASS; COLLAPSING HIERARCHY
209,LONG METHOD
210,DUPLICATED CODE
211,INAPPROPRIATE INHERITANCE
212,DUPLICATED CODE
213,LONG METHOD
214,DUPLICATED CONDITIONAL LOGIC
215,DUPLICATE CODE
216,TRADITIONAL FOR-LOOP WHEN ENHANCED FOR-LOOP IS APPLICABLE
217,DUPLICATE CODE
218,FEATURE ENVY
219,LONG METHOD
220,LONG METHOD
221,LONG METHOD; DUPLICATED CODE
222,LONG METHOD
223,LONG METHOD; STRING LITERAL DUPLICATION
224,MAGIC NUMBER
225,DUPLICATED CODE
226,NESTED CONDITIONAL COMPLEXITY; LACK OF NULL OBJECT
227,LONG METHOD; SWITCH STATEMENT
228,LONG METHOD
229,LONG METHOD
230,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
231,LONG METHOD; MAGIC NUMBER
232,LONG METHOD
233,LONG METHOD
234,LONG METHOD
235,LONG METHOD; NESTED CONDITIONAL
236,DUPLICATE CODE
237,DUPLICATION
238,DUPLICATE CODE
239,CODE DUPLICATION
240,LAZY INITIALIZATION
241,MAGIC NUMBER
242,LOOP
243,PRIMITIVE OBSESSION; STRING CONCATENATION IN LOOPS
244,DUPLICATE CODE
245,IMPERATIVE LOOP
246,MAGIC NUMBER
247,PRIMITIVE OBSESSION
248,PRIMITIVE OBSESSION
249,DUPLICATE CODE
250,MAGIC NUMBER
251,MAGIC NUMBER
252,MAGIC STRING
253,LONG METHOD; PRIMITIVE OBSESSION
254,LONG METHOD
255,LONG METHOD
256,CODE DUPLICATION
257,MAGIC NUMBER
258,MAGIC NUMBER
259,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
260,DUPLICATION
261,DUPLICATED CODE
262,REDUNDANT CONDITIONAL
263,DUPLICATE CODE
264,EXPOSING SENSITIVE INFORMATION
265,MAGIC NUMBER
266,SECURITY
267,LONG METHOD; PRIMITIVE OBSESSION
268,FEATURE ENVY
269,MAGIC NUMBER
270,PRIMITIVE OBSESSION
271,MAGIC NUMBER
272,DUPLICATED CODE
273,[ERRO: The read operation timed out]
274,LONG PARAMETER LIST
275,ENCAPSULATION VIOLATION
276,DIVISION BY ZERO
277,LONG METHOD
278,MAGIC NUMBER
279,ENCAPSULATION; PRIMITIVE OBSESSION
280,MAGIC STRING
281,MAGIC NUMBER
282,INSUFFICIENT CLARITY; POOR NAMING CONVENTION
283,LACK OF CLARITY
284,MAGIC NUMBER
285,MAGIC NUMBER
286,LARGE CLASS
287,DUPLICATED CODE
288,DUPLICATE CODE
289,MAGIC NUMBER
290,PRIMITIVE OBSESSION
291,MAGIC NUMBER
292,MAGIC NUMBER
293,FEATURE ENVY
294,MAGIC NUMBER
295,BROKEN ENCAPSULATION
296,MAGIC NUMBER
297,PRIMITIVE OBSESSION
298,MAGIC NUMBER
299,ENCAPSULATION VIOLATION; DUPLICATE EXPRESSIONS
300,PRIMITIVE OBSESSION
301,PRIMITIVE OBSESSION
302,CONDITIONAL COMPLEXITY
303,LONG METHOD
304,LONG METHOD
305,LONG METHOD
306,LOOPING CODE SMELL
307,LOOP CODE SMELL
308,LONG METHOD; PRIMITIVE OBSESSION
309,DATA CLUMP
310,ARROWHEAD ANTIPATTERN; CONDITIONAL COMPLEXITY
311,CONDITIONAL COMPLEXITY
312,LOOP
313,NESTED CONDITIONALS
314,LONG METHOD
315,NESTED CONDITIONAL
316,LOOPING CODE
317,LONG METHOD
318,LOOPING AND CONDITIONAL COMPLEXITY
319,NESTED CONDITIONALS
320,LONG METHOD; CONDITIONAL COMPLEXITY
321,FIELD OVERLOAD
322,NESTED CONDITIONAL
323,NESTED CONDITIONALS
324,LONG METHOD
325,MUTABLE FIELD
326,CONDITIONAL COMPLEXITY
327,LONG METHOD
328,PRIMITIVE OBSESSION
329,LONG METHOD
330,LOOPING
331,DUPLICATE CODE
332,DUPLICATE CODE
333,UNNECESSARY COMPLEXITY
334,LONG METHOD; DUPLICATE CODE
335,POOR METHOD NAMING
336,DUPLICATE CODE
337,NESTED CONDITIONAL
338,LOOP CODE SMELL
339,REDUNDANT CONDITIONAL STATEMENT
340,DUPLICATE CODE
341,NESTED CONDITIONAL
342,REFUSED BEQUEST
343,NESTED CONDITIONAL
344,[ERRO: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)]
345,DUPLICATE CODE
346,LOOP CODE SMELL
347,LONG METHOD
348,DUPLICATED CODE
349,IMPERATIVE LOOPS
350,LONG PARAMETER LIST; ENCAPSULATION
351,CONDITIONAL COMPLEXITY
352,DUPLICATE CODE
353,DUPLICATE CODE
354,UNNECESSARY ASSIGNMENT
355,DUPLICATE CODE
356,PRIMITIVE OBSESSION
357,LONG PARAMETER LIST
358,DUPLICATE CODE
359,FEATURE ENVY
360,MAGIC NUMBER
361,LONG METHOD; DUPLICATED CODE
362,LOOP WITH INDEX
363,LONG METHOD
364,NESTED CONDITIONAL
365,DUPLICATE CODE
366,LONG METHOD; PRIMITIVE OBSESSION
367,VERBOSE CODE; ERROR-PRONE CODE
368,LONG METHOD
369,LONG METHOD
370,FIELD OVEREXPOSURE
371,IMPERATIVE LOOPS; MANUAL INDEX MANAGEMENT
372,DUPLICATE CODE; CONDITIONAL COMPLEXITY
373,LONG METHOD
374,LOOPING WITH INDEX
375,LONG METHOD
376,LOOP AND COMPLEX CONDITIONAL
377,LOOPING
378,LARGE CLASS; COMPLEX CONDITIONAL
379,LONG METHOD; PRIMITIVE OBSESSION
380,DUPLICATE CODE
381,DUPLICATE CODE
382,LOOP
383,LOOP WITH MULTIPLE RESPONSIBILITIES; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
384,LONG METHOD
385,COMPLEX CONDITIONAL
386,COMPLEX CONDITIONAL
387,COMPLEX CONDITIONAL
388,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
389,COMPLEX CONDITIONAL
390,COMPLEX CONDITIONAL
391,DATA CLASS; PUBLIC FIELD
392,DATA CLASS; PUBLIC FIELD
393,DUPLICATED CODE
394,FEATURE ENVY; INAPPROPRIATE INTIMACY
395,DATA CLASS; PUBLIC FIELD
396,DATA CLASS / PUBLIC FIELD
397,DATA CLASS; PUBLIC FIELD
398,GOD OBJECT
399,DATA CLASS; PUBLIC FIELD
400,DATA CLASS; PUBLIC FIELD
401,DATA CLASS; PUBLIC FIELD
402,DATA CLASS; PUBLIC FIELD
403,LARGE CLASS
404,DATA CLASS; PUBLIC FIELD
405,LONG METHOD
406,DATA CLASS; PUBLIC FIELD
407,DATA CLASS; PUBLIC FIELD
408,DATA CLASS; PUBLIC FIELD
409,DATA CLASS; PUBLIC FIELD
410,DATA CLASS; PUBLIC FIELD
411,LARGE CLASS
412,DATA CLASS; PUBLIC FIELD
413,DATA CLASS / PUBLIC FIELD
414,[ERRO: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)]
415,DATA CLASS; PUBLIC FIELD
416,DATA CLASS; PUBLIC FIELD
417,DUPLICATE CODE
418,DATA CLASS; PUBLIC FIELD
419,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
420,INAPPROPRIATE INTIMACY
421,LARGE CLASS; DIVERGENT CHANGE
422,GOD OBJECT; TOO MANY RESPONSIBILITIES
423, GOD CLASS
424, GOD OBJECT
425,FEATURE ENVY
426,FEATURE ENVY
427,LONG METHOD
428,GOD OBJECT; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
429,GOD OBJECT
430,GOD OBJECT
431,FEATURE ENVY
432,LARGE CLASS; DIVERGENT CHANGE
433,FEATURE ENVY
434,LARGE CLASS; DIVERGENT CHANGE
435,FEATURE ENVY; DUPLICATED CODE
436,DUPLICATED CODE
437,TEMPORARY FIELD
438,FEATURE ENVY
439,GOD OBJECT
440,LARGE CLASS
441,GOD CLASS
442,LARGE CLASS; DIVERGENT CHANGE
443,LARGE CLASS; DIVERGENT CHANGE
444,FEATURE ENVY
445,LONG METHOD; FEATURE ENVY
446,GOD CLASS; LARGE CLASS
447,GOD OBJECT; LOW COHESION; HIGH COUPLING
448,LARGE CLASS
449,SHOTGUN SURGERY; DUPLICATED CODE
450,FEATURE ENVY
451,LARGE CLASS; SINGLE RESPONSIBILITY PRINCIPLE
452,LEGACY CODE
453,DUPLICATE CODE
454,LONG METHOD
455,PRIMITIVE OBSESSION
456,FEATURE ENVY
457,LONG METHOD
458,FEATURE ENVY
459,DUPLICATED CODE
460,FEATURE ENVY
461,INAPPROPRIATE INTIMACY
462,FEATURE ENVY; LONG METHOD
463,LONG METHOD
464,LONG METHOD
465,LONG METHOD
466,LONG METHOD
467,FEATURE ENVY
468,LONG METHOD; MAGIC NUMBER
469,DUPLICATED CODE
470,LONG METHOD
471,LOOPING
472,PRIMITIVE OBSESSION
473,LOOP
474,FEATURE ENVY
475,INAPPROPRIATE INTIMACY
476,LONG METHOD
477,LOOPING THROUGH COLLECTIONS
478,LARGE CLASS
479,DIVERGENT CHANGE
480,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE
481,LONG METHOD
482,LONG METHOD; DUPLICATED CODE
483,IMPERATIVE LOOP
484,LARGE CLASS
485,LACK OF ENCAPSULATION
486,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
487,LOOP; LONG METHOD
488,IMPERATIVE LOOP
489,LONG METHOD
490,LONG METHOD
491,TEMPORARY FIELD
492,IMPERATIVE STYLE
493,LONG METHOD
494,LONG METHOD
495,LONG METHOD
496,LONG METHOD
497,DUPLICATE CODE
498,LONG METHOD
499,DUPLICATE CODE
500,LONG METHOD; UNNECESSARY COMPLEXITY
501,LONG METHOD
502,LONG METHOD
503,LONG METHOD
504,LONG METHOD; DUPLICATED CODE
505,LONG METHOD
506,LONG METHOD
507,LONG METHOD
508,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
509,LONG METHOD; DUPLICATED CODE
510,LONG METHOD
511,COMPLEX BOOLEAN EXPRESSION
512,PRIMITIVE OBSESSION
513,USE OF A LOOP FOR ACCUMULATING A TOTAL
514,LONG METHOD
515,MUTABLE DATA; LACK OF INPUT VALIDATION; INEFFICIENT STRING CONCATENATION; LACK OF ENCAPSULATION
516,LONG METHOD
517,INAPPROPRIATE NAMING
518,LONG METHOD
519,DATA CLUMP; INAPPROPRIATE INTIMACY
520,LONG METHOD
521,TEMPORARY FIELD
522,LACK OF IMMUTABILITY
523,MAGIC NUMBERS
524,LONG METHOD; POOR READABILITY
525,LONG METHOD
526,LONG METHOD
527,REFUSED BEQUEST; SINGLE RESPONSIBILITY PRINCIPLE
528,LOOP
529,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
530,DUPLICATE CODE
531,LONG METHOD
532,LONG METHOD
533,DUPLICATED LOGIC
534,LOOP
535,MAGIC NUMBERS
536,LONG METHOD; NESTED CONDITIONAL
537,LONG METHOD
538,ENCAPSULATION
539,NESTED CONDITIONALS
540,LACK OF ENCAPSULATION; RESPONSIBILITY SEPARATION
541,MIDDLE MAN
542,TEMPORARY FIELD
543,MIDDLE MAN
544,FEATURE ENVY
545,FEATURE ENVY
546,MIDDLE MAN
547,SPECULATIVE GENERALITY
548,LOOP
549,FEATURE ENVY
550,MIDDLE MAN
551,LOOP
552,INAPPROPRIATE INTIMACY
553,MIDDLE MAN
554,FEATURE ENVY
555,FEATURE ENVY
556,LACK OF USE OF MODERN JAVA FEATURES
557,MIDDLE MAN
558,DUPLICATE CODE
559,FEATURE ENVY
560,MIDDLE MAN
561,FEATURE ENVY
562,TEMPORARY FIELD
563,DUPLICATE CODE
564,MIDDLE MAN
565,LOOPING FOR A SIMPLE CALCULATION
566,DUPLICATE CODE
567,FEATURE ENVY
568,FEATURE ENVY
569,LONG METHOD
570,TEMPORARY FIELD
571,LONG METHOD
572,SWITCH STATEMENTS
573,RESOURCE MANAGEMENT
574,LONG METHOD
575,LONG METHOD
576,MUTABLE FIELD
577,DUPLICATED CODE
578,DUPLICATED CODE
579,NESTED CONDITIONAL
580,TEMPORARY FIELD
581,TEMPORARY FIELD
582,UNNECESSARY GETTER USAGE
583,TEMPORARY FIELD
584,PRIMITIVE OBSESSION
585,FEATURE ENVY
586,DUPLICATE CODE
587,TEMPORARY FIELD
588,TEMPORARY FIELD
589,LOOP CONTROL VARIABLE; FOR LOOP
590,LONG METHOD
591,LONG METHOD
592,LAZY INITIALIZATION
593,LOOP
594,LOOP
595,LONG METHOD
596,TEMPORARY FIELD
597,OBSOLETE ITERATOR
598,DUPLICATE CODE
599,LONG METHOD
600,LOOP CODE SMELL
601,MISSING VALIDATION LOGIC
602,LACK OF VALIDATION CODE SMELL; DUPLICATED STRING LITERAL CODE SMELL
603,LOOP
604,DUPLICATE EXPRESSIONS
605,LOOP
606,COMMENTS
607,BOOLEAN COMPARISON
608,FEATURE ENVY
609,COMMENTS
610,NESTED CONDITIONAL; COMMENTS
611,IMPERATIVE PROGRAMMING
612,CODE SMELL
613,REFUSED BEQUEST; DUPLICATED CODE
614,LONG METHOD
615,MAGIC STRING
616,IMPERATIVE CODE
617,NESTED CONDITIONAL
618,INCOMPLETE CONSTRUCTOR
619,MISSING VALIDATION FOR CONSTRUCTOR PARAMETERS
620,UNNECESSARY OBJECT INSTANTIATION
621,IMPERATIVE PROGRAMMING
622,EXPLICIT LOOP
623,LOOP
624,REFUSED BEQUEST
625,SECURITY
626,CONDITIONAL COMPLEXITY
627,COMMENTS
628,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
629,NESTED CONDITIONAL
630,LOOP
631,LONG METHOD
632,DUPLICATE CODE; POOR ENCAPSULATION
633,FEATURE ENVY
634,TYPE CODE
635,DUPLICATED CODE
636,LONG METHOD
637,LONG METHOD
638,LONG METHOD
639,LOOPING THROUGH COLLECTIONS USING A FOR-EACH LOOP INSTEAD OF USING A MORE READABLE AND EXPRESSIVE APPROACH
640,FEATURE ENVY
641,LONG METHOD
642,LOOP
643,DUPLICATED CODE
644,LONG METHOD; FEATURE ENVY
645,LONG METHOD
646,DATA CLUMPS
647,LONG METHOD
648,LONG STRING LITERAL
649,LONG METHOD
650,PRIMITIVE OBSESSION
651,PRIMITIVE OBSESSION
652,LONG METHOD
653,MAGIC NUMBER
654,LONG METHOD
655,DATA CLUMPS
656,LONG METHOD
657,DUPLICATED CODE
658,LONG METHOD
659,LONG METHOD
660,LOOPING THROUGH COLLECTIONS
661,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
662,LONG METHOD
663,FEATURE ENVY
664,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
665,LONG METHOD; PRIMITIVE OBSESSION
666,DUPLICATED CODE
667,INAPPROPRIATE INTIMACY
668,FEATURE ENVY
669,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
670,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
671,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
672,FEATURE ENVY
673,CODE DUPLICATION
674,LONG METHOD
675,DIVERGENT CHANGE
676,DUPLICATE CODE
677,VERBOSITY; UNNECESSARY ITERATION
678,FEATURE ENVY
679,FEATURE ENVY
680,FEATURE ENVY
681,FEATURE ENVY
682,GOD OBJECT
683,LONG METHOD
684,LONG METHOD
685,INAPPROPRIATE USE OF INSTANCE METHODS; VIOLATES SINGLE RESPONSIBILITY PRINCIPLE
686,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE
687,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
688,FEATURE ENVY
689,GOD OBJECT
690,FEATURE ENVY
691,LONG METHOD
692,INAPPROPRIATE INTIMACY
693,LONG METHOD
694,LONG METHOD
695,INAPPROPRIATE ACCESS
696,LONG METHOD
697,DUPLICATE CODE
698,TEMPORARY FIELD
699,PRIMITIVE OBSESSION
700,PRIMITIVE OBSESSION
701,DATA CLUMPS
702,SHOTGUN SURGERY
703,MAGIC NUMBERS
704,TEMPORARY FIELD
705,IMPROPER USE OF INDEX-BASED LOOPS
706,DATA CLUMPS
707,FEATURE ENVY
708,DUPLICATE CODE
709,LOOP
710,ENCAPSULATION LEAKAGE
