linha,smell
711,PRIMITIVE OBSESSION
712,DATA CLUMPS
713,DUPLICATED CODE
714,PRIMITIVE OBSESSION
715,PRIMITIVE OBSESSION
716,STRING CONCATENATION IN LOOPS
717,LONG METHOD
718,DATA CLUMPS
719,DUPLICATED CODE
720,MUTABLE GLOBAL STATE
721,DUPLICATE CODE
722,STRING CONCATENATION
723,CONDITIONAL COMPLEXITY
724,PRIMITIVE OBSESSION
725,DUPLICATE CODE
726,DUPLICATE CODE
727,DUPLICATE CODE
728,DUPLICATE CODE
729,LONG PARAMETER LIST
730,DUPLICATE CODE
731,LOOPING CODE SMELL
732,LAZY INITIALIZATION
733,PRIMITIVE OBSESSION
734,FEATURE ENVY
735,DUPLICATE CODE; INAPPROPRIATE INTIMACY
736,DUPLICATE CODE
737,INCOMPLETE CONSTRUCTOR
738,DUPLICATE METHOD
739,
740,LONG METHOD
741,DUPLICATED CODE
742,DUPLICATED CODE
743,DUPLICATE CODE
744,PRIMITIVE OBSESSION
745,MAGIC NUMBER
746,DUPLICATE CODE
747,TEMPORARY FIELD
748,PRIMITIVE OBSESSION; DUPLICATE CODE
749,FEATURE ENVY
750,MAGIC NUMBERS
751,NESTED CONDITIONAL
752,DATA CLUMPS; FEATURE ENVY
753,[ERRO: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)]
754,LONG METHOD
755,TEMPORARY FIELD
756,UNNECESSARY TEMPORARY VARIABLE
757,PRIMITIVE OBSESSION
758,TEMPORARY FIELD
759,LONG METHOD
760,LONG METHOD
761,TEMPORARY FIELD
762,LONG METHOD
763,DUPLICATE CODE
764,LONG METHOD
765,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
766,LONG METHOD
767,DUPLICATED CODE
768,LOOP VARIABLE
769,MAGIC NUMBER
770,TEMPORARY FIELD
771,PRIMITIVE OBSESSION
772,LOOP
773,REDUNDANT CONDITIONAL LOGIC
774,LONG METHOD
775,NESTED CONDITIONAL
776,LONG METHOD
777,POOR NAMING CONVENTIONS
778,PRIMITIVE OBSESSION
779,LONG METHOD; TEMPORARY FIELD
780,INAPPROPRIATE INTIMACY
781,MAGIC NUMBER; INCONSISTENT NAMING; METHOD CLARITY
782,SWITCH STATEMENTS
783,COMMENTS
784,LONG METHOD; FEATURE ENVY
785,COMMENTS; OUTPUT IN METHODS
786,MAGIC NUMBERS
787,INCONSISTENT NAMING
788,CRYPTIC VARIABLE NAME; METHOD NAME THAT LACKS CLARITY
789,DUPLICATE CODE
790,TEMPORARY FIELD
791,AMBIGUOUS NAMING
792,COMMENTS
793,OVERLOADED METHOD
794,PRIMITIVE OBSESSION
795,COMMENTS
796,MAGIC NUMBER
797,DUPLICATE CODE
798,INCONSISTENT NAMING; UNCOMMUNICATIVE NAME
799,COMMENTS; DUPLICATED CODE
800,COMMENTS
801,COMMENTS
802,MAGIC NUMBER
803,INCONSISTENT NAMING
804,MAGIC NUMBER
805,LONG METHOD
806,DUPLICATE CODE
807,INAPPROPRIATE NAMING
808,INCONSISTENT METHOD NAMING; METHOD VISIBILITY
809,DUPLICATE CODE
810,COMMENTS
811,DUPLICATE CODE
812,PRIMITIVE OBSESSION
813,PRIMITIVE OBSESSION
814,PRIMITIVE OBSESSION
815,INCONSISTENT NAMING
816,PRIMITIVE OBSESSION
817,PRIMITIVE OBSESSION
818,REFUSED BEQUEST
819,PRIMITIVE OBSESSION
820,PRIMITIVE OBSESSION
821,PRIMITIVE OBSESSION
822,PRIMITIVE OBSESSION
823,PRIMITIVE OBSESSION
824,PRIMITIVE OBSESSION
825,PRIMITIVE OBSESSION
826,PRIMITIVE OBSESSION
827,PRIMITIVE OBSESSION
828,PRIMITIVE OBSESSION
829,PRIMITIVE OBSESSION
830,PRIMITIVE OBSESSION
831,PRIMITIVE OBSESSION
832,PRIMITIVE OBSESSION
833,PRIMITIVE OBSESSION; LACK OF ENCAPSULATION
834,LOOP
835,NESTED CONDITIONAL
836,PRIMITIVE OBSESSION
837,PRIMITIVE OBSESSION
838,PRIMITIVE OBSESSION
839,PRIMITIVE OBSESSION
840,PRIMITIVE OBSESSION
841,LONG METHOD
842,TEMPORARY FIELD
843,DUPLICATED CODE
844,FEATURE ENVY
845,LONG METHOD
846,SWITCH STATEMENTS
847,SWITCH STATEMENTS; OPEN/CLOSED PRINCIPLE VIOLATION
848,FEATURE ENVY; LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE
849,LONG METHOD
850,MAGIC NUMBERS
851,FEATURE ENVY
852,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
853,SWITCH STATEMENTS
854,LONG METHOD
855,SWITCH STATEMENTS; OPEN/CLOSED PRINCIPLE VIOLATION
856,FEATURE ENVY; LONG METHOD
857,LONG METHOD
858,LONG METHOD; FEATURE ENVY
859,LONG METHOD
860,LONG METHOD
861,CONDITIONAL LOGIC
862,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
863,PRIMITIVE OBSESSION
864,DUPLICATED CODE; FEATURE ENVY
865,DUPLICATE CODE
866,SWITCH STATEMENTS
867,TEMPORARY FIELD; FEATURE ENVY
868,SWITCH STATEMENTS
869,SWITCH STATEMENTS
870,OPEN/CLOSED PRINCIPLE VIOLATION; PRIMITIVE OBSESSION
871,PRIMITIVE OBSESSION
872,FEATURE ENVY
873,INCONSISTENT NAMING
874,MAGIC NUMBER
875,MISSING ABSTRACTION; DUPLICATED CODE
876,INCONSISTENT NAMING
877,LOOPING
878,ENCAPSULATION VIOLATION
879,MISSING VALIDATION
880,ENCAPSULATION VIOLATION
881,LARGE CLASS; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
882,LAZY CLASS; SPECULATIVE GENERALITY
883,PRIMITIVE OBSESSION
884,DUPLICATE CODE
885,ENCAPSULATION
886,NULL CHECK
887,LOOP CODE SMELL
888,LONG METHOD; STRING CONCATENATION
889,LOOP
890,PRIMITIVE OBSESSION
891,MAGIC STRINGS
892,LONG METHOD
893,FEATURE ENVY
894,DATA CLUMPS
895,LONG METHOD
896,INTERFACE SEGREGATION PRINCIPLE VIOLATION
897,RESOURCE MANAGEMENT
898,LOOP
899,ENCAPSULATION VIOLATION
900,ENCAPSULATION VIOLATION
901,MAGIC NUMBER
902,DUPLICATE CODE
903,MAGIC NUMBER
904,PRIMITIVE OBSESSION
905,ENCAPSULATION VIOLATION
906,PRECISION LOSS
907,MAGIC NUMBER
908,INCONSISTENT NAMING
909,MAGIC NUMBER
910,MAGIC NUMBER
911,MAGIC NUMBER
912,INCONSISTENT NAMING
913,MAGIC NUMBER
914,MAGIC NUMBER
915,MAGIC NUMBER
916,MAGIC NUMBER
917,FOR LOOP
918,PRIMITIVE OBSESSION
919,INAPPROPRIATE ACCESS
920,MAGIC NUMBER
921,MAGIC NUMBER
922,MAGIC NUMBER
923,DUPLICATE CODE
924,MAGIC NUMBER
925,MAGIC NUMBER
926,MAGIC NUMBER
927,PRIMITIVE OBSESSION
928,INCONSISTENT NAMING
929,MAGIC NUMBER
930,MAGIC NUMBER
931,LONG METHOD
932,LARGE CLASS
933,LONG METHOD
934,ARROWHEAD ANTI-PATTERN; DEEP NESTING
935,LONG METHOD
936,LONG METHOD
937,LARGE CLASS
938,LARGE CLASS
939,DUPLICATION
940,DIVERGENT CHANGE
941,LONG METHOD
942,LONG METHOD
943,TEMPORARY FIELD
944,LONG METHOD
945,FEATURE ENVY
946,LARGE METHOD
947,DUPLICATED CODE
948,LARGE CLASS; SINGLE RESPONSIBILITY PRINCIPLE
949,DUPLICATE CODE
950,LONG METHOD
951,LARGE CLASS
952,LONG METHOD
953,PRIMITIVE OBSESSION
954,LONG PARAMETER LIST
955,FEATURE ENVY
956,LONG METHOD
957,INAPPROPRIATE INTIMACY
958,DUPLICATE CODE
959,LONG METHOD
960,LONG METHOD
961,LONG METHOD
962,LONG METHOD
963,LONG METHOD
964,CONDITIONAL COMPLEXITY
965,PRIMITIVE OBSESSION
966,LONG METHOD
967,MAGIC STRINGS
968,LONG METHOD
969,MAGIC NUMBERS
970,MAGIC STRINGS
971,SILENT FAILURES
972,MAGIC STRINGS; CONDITIONAL LOGIC
973,LONG METHOD
974,MAGIC STRINGS
975,PRIMITIVE OBSESSION
976,MAGIC STRINGS; CONDITIONAL COMPLEXITY
977,MAGIC STRINGS
978,MAGIC STRINGS
979,MAGIC STRINGS
980,LONG METHOD
981,LONG METHOD
982,MAGIC STRINGS
983,FEATURE ENVY
984,MAGIC STRINGS
985,MAGIC STRINGS
986,DUPLICATED CODE
987,MAGIC NUMBERS
988,MAGIC STRINGS; CONDITIONAL COMPLEXITY
989,DUPLICATE CODE
990,CODE DUPLICATION
991,LONG PARAMETER LIST
992,LONG METHOD
993,PRIMITIVE OBSESSION
994,MAGIC NUMBER
995,LONG METHOD
996,DATA CLUMP
997,LOOP
998,LOOP
999,TEMPORARY FIELD
1000,LOOP FOR ACCUMULATION
1001,LONG METHOD
1002,DATA CLUMP
1003,MUTABLE STRING
1004,PRIMITIVE OBSESSION; LOOPING OVER COLLECTION
1005,PRIMITIVE OBSESSION
1006,LONG PARAMETER LIST
1007,LONG PARAMETER LIST
1008,LONG PARAMETER LIST
1009,IMPERATIVE LOOP
1010,DUPLICATE CODE
1011,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1012,LOOP
1013,DUPLICATED CALCULATION
1014,LOOPING CODE
1015,MAGIC NUMBER
1016,FEATURE ENVY
1017,LAZY CLASS
1018,LONG PARAMETER LIST
1019,IMPERATIVE LOOP
1020,LOOP
1021,LONG METHOD
1022,LONG METHOD
1023,LONG METHOD
1024,ARROWHEAD ANTI-PATTERN
1025,TEMPORARY FIELD
1026,DUPLICATED CODE
1027,DUPLICATE CODE
1028,LOOP
1029,LONG METHOD
1030,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1031,LOOP
1032,LOOP
1033,LONG METHOD
1034,LONG METHOD; COMPLEX CONDITIONAL
1035,LONG METHOD
1036,LONG METHOD; FIELD OVERUSE
1037,LONG METHOD
1038,LONG METHOD
1039,LOOP
1040,
1041,LONG METHOD; TEMPORARY FIELD
1042,LONG METHOD
1043,LONG METHOD
1044,NESTED CONDITIONALS
1045,LOOP
1046,LONG METHOD
1047,DUPLICATED CODE
1048,DUPLICATED CODE
1049,DUPLICATE CODE; TEMPORARY FIELD
1050,TEMPORARY FIELD
1051,DATA CLASS
1052,LOOP
1053,MISSING ABSTRACTION
1054,DATA CLASS
1055,EXPLICIT ITERATION
1056,LONG METHOD; FEATURE ENVY
1057,PRIMITIVE OBSESSION
1058,PRIMITIVE OBSESSION
1059,DATA CLASS
1060,LONG METHOD
1061,FEATURE ENVY; DATA CLASS
1062,LOOP
1063,VIOLATES ENCAPSULATION
1064,DATA CLASS
1065,FEATURE ENVY
1066,FEATURE ENVY
1067,FEATURE ENVY
1068,DUPLICATE CODE
1069,LONG METHOD
1070,FEATURE ENVY
1071,ENCAPSULATION VIOLATION
1072,DATA CLASS
1073,DATA CLASS
1074,FEATURE ENVY
1075,LOOPING
1076,FEATURE ENVY
1077,LOOP
1078,INAPPROPRIATE INTIMACY; FEATURE ENVY
1079,ENCAPSULATION BREAKDOWN
1080,PRIMITIVE OBSESSION
1081,INAPPROPRIATE INTIMACY
1082,PRIMITIVE OBSESSION; DUPLICATED CODE
1083,MUTABLE OBJECT
1084,LONG METHOD
1085,FEATURE ENVY
1086,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1087,DUPLICATE CODE
1088,DUPLICATE DATA; INCONSISTENT DATA
1089,TEMPORARY FIELD
1090,ENCAPSULATION
1091,DUPLICATED CODE
1092,FEATURE ENVY
1093,LAZY INITIALIZATION
1094,GLOBAL VARIABLE; SHARED MUTABLE STATE
1095,DATA CLUMP
1096,DUPLICATE CODE
1097,LONG METHOD
1098,LONG METHOD
1099,OVERLOADED METHOD
1100,LONG METHOD
1101,LONG METHOD; INAPPROPRIATE INTIMACY
1102,DATA CLASS
1103,TEMPORARY FIELD
1104,MAGIC NUMBER
1105,SIMPLIFIED CONTROL FLOW; TYPE CONVERSION ISSUE; POOR NAMES
1106,DUPLICATED METHOD CALLS
1107,PRIMITIVE OBSESSION
1108,ERROR HANDLING
1109,LARGE CLASS; LACK OF COHESION
1110,DUPLICATE METHOD CALL
1111,LONG METHOD
1112,LARGE METHOD
1113,DEEP NESTING
1114,LONG METHOD
1115,LONG METHOD
1116,DUPLICATED LOGIC
1117,LONG METHOD; FEATURE ENVY
1118,LONG METHOD
1119,PRIMITIVE OBSESSION
1120,DUPLICATED CODE
1121,TEMPORARY FIELD
1122,LONG METHOD
1123,DUPLICATED CODE
1124,LONG METHOD
1125,LOOP
1126,LOOP
1127,PRIMITIVE OBSESSION
1128,LONG METHOD
1129,NESTED CONDITIONAL
1130,PRIMITIVE OBSESSION
1131,LONG METHOD
1132,LONG METHOD
1133,LOOPING CODE
1134,DUPLICATED CODE
1135,LONG METHOD
1136,LOOPING CODE
1137,DUPLICATED CODE
1138,LONG METHOD
1139,LOOP
1140,LONG METHOD
1141,PRIMITIVE OBSESSION
1142,COMPLEX CONDITIONAL
1143,DUPLICATED CODE
1144,PRIMITIVE OBSESSION
1145,ENCAPSULATION VIOLATION
1146,INAPPROPRIATE INTIMACY
1147,DUPLICATED CODE
1148,SWITCH STATEMENTS
1149,DATA CLUMP
1150,LONG METHOD
1151,LONG METHOD; PRIMITIVE OBSESSION
1152,PRIMITIVE OBSESSION
1153,CONDITIONAL LOGIC
1154,DUPLICATED LOGIC
1155,CONDITIONAL STATEMENT FOR VARYING BEHAVIOR
1156,LONG PARAMETER LIST
1157,LONG METHOD
1158,DUPLICATED CODE
1159,MULTIPLE CONDITIONAL STATEMENTS
1160,LONG PARAMETER LIST
1161,SWITCH STATEMENTS
1162,DUPLICATION
1163,LONG METHOD; VIOLATES SINGLE RESPONSIBILITY PRINCIPLE
1164,LONG METHOD; LACK OF COHESION
1165,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1166,LONG METHOD
1167,PRIMITIVE OBSESSION
1168,LONG METHOD
1169,LONG METHOD
1170,PRIMITIVE OBSESSION
1171,LONG METHOD
1172,GLOBAL VARIABLE
1173,SWITCH STATEMENTS
1174,SWITCH STATEMENTS
1175,MAGIC NUMBERS; CONDITIONAL COMPLEXITY
1176,SWITCH STATEMENTS
1177,LONG METHOD
1178,LONG METHOD
1179,MAGIC NUMBER; LACK OF ENCAPSULATION
1180,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1181,SWITCH STATEMENTS
1182,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1183,FEATURE ENVY
1184,DATA CLUMPS
1185,LONG METHOD
1186,PRIMITIVE OBSESSION; DUPLICATED CODE
1187,CONDITIONAL LOGIC
1188,CODE DUPLICATION
1189,DUPLICATE DATA
1190,PRIMITIVE OBSESSION
1191,SWITCH STATEMENTS
1192,LONG METHOD
1193,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1194,CONDITIONAL COMPLEXITY
1195,INAPPROPRIATE INTIMACY; SINGLE RESPONSIBILITY PRINCIPLE
1196,SWITCH STATEMENTS
1197,
1198,DUPLICATED LOGIC
1199,LONG METHOD
1200,LONG METHOD
1201,DUPLICATE CODE
1202,LONG METHOD; FEATURE ENVY
1203,DATA CLUMP
1204,LONG METHOD; CONDITIONAL COMPLEXITY
1205,DUPLICATE CODE
1206,LONG METHOD
1207,DUPLICATE CODE
1208,DUPLICATE CODE
1209,LONG METHOD; CONDITIONAL COMPLEXITY
1210,DUPLICATE CODE
1211,DUPLICATE CODE
1212,DUPLICATE CODE
1213,LONG METHOD
1214,DUPLICATE CODE
1215,LONG METHOD
1216,DUPLICATE CODE
1217,PRIMITIVE OBSESSION
1218,DUPLICATE CODE
1219,DUPLICATE CODE
1220,DUPLICATED CODE
1221,DUPLICATE CODE
1222,DUPLICATE CODE
1223,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION; GOD OBJECT
1224,DUPLICATE CODE
1225,LONG METHOD
1226,LONG METHOD; PRIMITIVE OBSESSION
1227,LONG METHOD; FEATURE ENVY
1228,PRIMITIVE OBSESSION; DUPLICATED LOGIC
1229,PRIMITIVE OBSESSION
1230,PRIMITIVE OBSESSION
1231,LAZY INITIALIZATION
1232,LONG METHOD
1233,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
1234,DUPLICATE CODE
1235,DUPLICATE CODE
1236,DUPLICATE CODE
1237,CONDITIONAL COMPLEXITY
1238,CONDITIONAL COMPLEXITY
1239,DUPLICATE CODE
1240,PRIMITIVE OBSESSION
1241,FEATURE ENVY
1242,DUPLICATE CODE
1243,DUPLICATE CODE
1244,
1245,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1246,IMPERATIVE CODE
1247,DUPLICATE CODE
1248,DUPLICATE CODE
1249,CONDITIONAL COMPLEXITY
1250,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE
1251,LONG METHOD
1252,DUPLICATE CODE
1253,LAZY CLASS; FEATURE ENVY
1254,FEATURE ENVY
1255,REPEATED NULL CHECK
1256,DUPLICATED CODE
1257,CONDITIONAL COMPLEXITY
1258,DUPLICATE CODE
1259,DUPLICATE CODE
1260,PRIMITIVE OBSESSION
1261,MUTABLE DATA
1262,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE
1263,SWITCH STATEMENTS
1264,MAGIC NUMBER
1265,PRIMITIVE OBSESSION
1266,RESOURCE ACQUISITION IS INITIALIZATION
1267,CONDITIONAL COMPLEXITY
1268,LONG METHOD
1269,LISKOV SUBSTITUTION PRINCIPLE BEING VIOLATED
1270,PRIMITIVE OBSESSION
1271,TEMPORARY FIELD; FEATURE ENVY
1272,PRIMITIVE OBSESSION
1273,PRIMITIVE OBSESSION; SINGLE RESPONSIBILITY PRINCIPLE
1274,INAPPROPRIATE INHERITANCE
1275,MAGIC NUMBER
1276,PRIMITIVE OBSESSION; CONDITIONAL COMPLEXITY
1277,PRIMITIVE OBSESSION
1278,LONG METHOD
1279,LONG METHOD
1280,STRING-BASED TYPE CODE; PRIMITIVE OBSESSION
1281,NOT FOLLOWING THE OPEN/CLOSED PRINCIPLE
1282,LONG METHOD
1283,PRIMITIVE OBSESSION
1284,PRIMITIVE OBSESSION
1285,ENCAPSULATION VIOLATION; MAGIC NUMBER
1286,LONG METHOD
1287,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1288,DATA CLUMPS
1289,TRADITIONAL FOR LOOP WITH INDEX; UNNECESSARY COMPLEXITY; POTENTIAL FOR OFF-BY-ONE ERRORS
1290,CONDITIONAL COMPLEXITY
1291,LONG METHOD; DUPLICATED CODE
1292,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1293,FEATURE ENVY
1294,
1295,DUPLICATED LOGIC
1296,FEATURE ENVY
1297,GOD OBJECT; FEATURE ENVY
1298,DIRECT MANIPULATION OF UI COMPONENTS WITHIN BUSINESS LOGIC
1299,FEATURE ENVY
1300,INAPPROPRIATE INTIMACY
1301,GOD OBJECT
1302,LONG METHOD; DUPLICATED CODE
1303,DUPLICATION
1304,FEATURE ENVY
1305,DUPLICATED CODE
1306,DUPLICATE CODE
1307,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1308,INAPPROPRIATE INTIMACY
1309,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
1310,PRIMITIVE OBSESSION
1311,INAPPROPRIATE INTIMACY; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1312,FEATURE ENVY
1313,LONG METHOD; DUPLICATED CODE
1314,LONG METHOD
1315,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1316,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1317,FEATURE ENVY; DIVERGENT CHANGE
1318,DUPLICATE CODE
1319,LONG METHOD; DATA CLUMP
1320,FEATURE ENVY
1321,MESSAGE CHAINS
1322,LOOP CODE SMELL
1323,FEATURE ENVY
1324,MESSAGE CHAINS
1325,MESSAGE CHAINS
1326,MESSAGE CHAINS
1327,DATA CLUMP
1328,INAPPROPRIATE USE OF THE TOTAL FIELD; INAPPROPRIATE METHOD NAME
1329,IMPERATIVE LOOPING
1330,FEATURE ENVY
1331,MESSAGE CHAINS
1332,MESSAGE CHAINS
1333,LOOP
1334,MESSAGE CHAINS
1335,MESSAGE CHAINS
1336,FEATURE ENVY
1337,MESSAGE CHAINS
1338,MESSAGE CHAINS
1339,MESSAGE CHAINS; LAW OF DEMETER VIOLATION
1340,FEATURE ENVY
1341,INDIRECT ACCESS; UNNECESSARY ACCESSOR USAGE
1342,MESSAGE CHAINS
1343,INAPPROPRIATE USE OF INHERITANCE
1344,MESSAGE CHAINS
1345,MESSAGE CHAINS
1346,MESSAGE CHAINS
1347,LONG METHOD
1348,
1349,MESSAGE CHAINS
1350,MESSAGE CHAINS
1351,LONG METHOD
1352,MUTABLE STRING
1353,INAPPROPRIATE INTIMACY
1354,LONG METHOD
1355,LONG METHOD; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1356,LONG METHOD
1357,PRIMITIVE OBSESSION
1358,LONG METHOD
1359,LONG METHOD
1360,IMPERATIVE CODE
1361,MANUAL ITERATION; STRING CONCATENATION WITHIN LOOPS
1362,FEATURE ENVY
1363,FEATURE ENVY
1364,LONG METHOD
1365,SWITCH STATEMENT
1366,FEATURE ENVY
1367,HARD-CODED BUSINESS RULES
1368,LOOP
1369,PRIMITIVE OBSESSION
1370,FEATURE ENVY
1371,MAGIC NUMBER
1372,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1373,LONG METHOD
1374,LOOP
1375,PRIMITIVE OBSESSION
1376,FEATURE ENVY
1377,POOR ENCAPSULATION; EXCESSIVE METHOD VISIBILITY
1378,FEATURE ENVY
1379,LONG METHOD
1380,FEATURE ENVY
1381,DATA CLASS
1382,DATA CLASS
1383,IMPROPER ENCAPSULATION
1384,IMPROPER ENCAPSULATION
1385,DATA CLUMP
1386,ENCAPSULATION VIOLATION
1387,DATA CLASS
1388,DATA CLASS
1389,DATA CLASS
1390,INSUFFICIENT VALIDATION
1391,EXPOSING INTERNAL STATE
1392,DATA CLASS
1393,LOOP
1394,LONG METHOD
1395,DATA CLASS
1396,ENCAPSULATION VIOLATION
1397,POTENTIAL DIVISION BY ZERO ERROR
1398,FEATURE ENVY
1399,FEATURE ENVY
1400,EXPOSING INTERNAL COLLECTIONS DIRECTLY
1401,ENCAPSULATION LEAK
1402,DATA CLASS
1403,DATA CLASS
1404,ENCAPSULATION VIOLATION; LEAKY ENCAPSULATION
1405,LACK OF VALIDATION
1406,DATA CLASS
1407,ENCAPSULATION VIOLATION
1408,LONG METHOD
1409,ENCAPSULATION
1410,DATA CLASS
1411,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1412,DUPLICATE CODE
1413,PRIMITIVE OBSESSION
1414,PRIMITIVE OBSESSION
1415,DATA CLUMPS; PRIMITIVE OBSESSION
1416,LONG METHOD; PRIMITIVE OBSESSION
1417,USE OF OBSOLETE COLLECTION
1418,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
1419,RAW TYPE
1420,FEATURE ENVY
1421,DUPLICATE CODE
1422,LONG METHOD
1423,FEATURE ENVY
1424,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
1425,RAW TYPES; UNCHECKED TYPE CASTING; POTENTIAL MAINTENANCE ISSUES
1426,DATA CLUMP; FEATURE ENVY
1427,INAPPROPRIATE INHERITANCE
1428,DATA CLUMPS; SHOTGUN SURGERY
1429,LACK OF ABSTRACTION; DUPLICATED CODE
1430,TYPE SAFETY
1431,DATA CLUMPS
1432,LONG METHOD; PRIMITIVE OBSESSION
1433,DUPLICATE CODE
1434,TEMPORARY FIELD
1435,DUPLICATE CODE
1436,INAPPROPRIATE USE OF ENCAPSULATION; DEPENDENCY BETWEEN CLASSES
1437,FEATURE ENVY
1438,SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
1439,DUPLICATE CODE
1440,LACK OF PROPER USE OF GENERICS; TYPE SAFETY ISSUES; VIOLATION OF SINGLE RESPONSIBILITY PRINCIPLE
